X,Y,OBJECTID,FOLIO,NAME,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,FAX,CHIEF,JURISDTN,TYPE,LAT,LON,POINT_X,POINT_Y
-80.184962997866663,25.880210200612069,1,1722310030900,Biscayne Park Municipal Police Station,640 NE 114th St, ,Biscayne Park,33161,305-893-7490,305-891-7241,Cornelius McKenna,M,Headquarters,25.88021,-80.18496,924143.184524328,562982.911149323
-80.147783253596288,25.845612624121529,2,2332090140200,North Bay Village Municipal Police Station,1841 Galleon Street,2nd Floor,North Bay Village,33141,305-758-2626,305-866-7508,Carlos Noriega,M, ,25.84561,-80.14778,936449.640226331,550485.245199822
-80.151051630925437,25.848120879154884,3,2332090100280,North Bay Village Municipal CE Police Station,1666 Kennedy Cswy,3r Floor,North Bay Village,33141,305-756-7171,305-756-7722,Maurice Murray,M,Code Enforc,25.84812,-80.15105,935368.778542914,551389.970096409
-80.244131638982978,25.943902659091446,4,3421030130010,Miami Gardens (HQ) Municipal Police Station,18611 NW 27th Ave, ,Miami Gardens,33056,305-474-6473,305-622-8001,Chief Antonio G. Brooklen,M, ,25.9439,-80.24413,904554.960577495,586016.836538076
-80.25996547892818,25.745914113635777,5,0341170055110,Coral Gables Municipal Police Station,2801 Salzedo St, ,Coral Gables,33134,305-442-1600, ,"Edward J. Hudak, Jr.",M,Headquarters,25.74591,-80.25997,899756.801866744,514024.890955321
-80.187703234080701,25.854802230290645,6,1832070490490,El Portal Municipal Police Station,500 NE 87th St, ,El Portal,33138,305-795-7870,305-795-7884,Eugene M. Morales,M,Headquarters,25.8548,-80.18771,923299.312852494,553742.250168741
-80.266296471775689,25.872985656763007,7,0421320010011,Hialeah Municipal Police Station Headquarters,5555 E 8th Ave, ,Hialeah,33013,305-687-2525,305-953-5330,Sergio Velazquez,M,Headquarters,25.87298,-80.26629,897415.312127162,560199.249393821
-80.33245110154914,25.890105931509165,8,0420270010340,Hialeah (Substation 5),7400 W 24th Ave, ,Hialeah,33016,305-698-3600,305-698-3603,Sergio Velasquez,M,Substation,25.8901,-80.33245,875630.83962008,566305.786721408
-80.479205727208878,25.470575369720642,9,1079220010171,Homestead Municipal Police Station,45 NW 1st Ave, ,Homestead,33030,305-247-1535, ,Alexander E. Rolle,M, ,25.47057,-80.47921,827983.500203662,413609.374923237
-80.129771680010123,25.877528177647822,10,2122350020030,Indian Creek Village Municipal Police Station,9080 Bay Dr, ,Indian Creek Village,33154,305-865-4121,305-865-2502,Clarke P. Maher,M, ,25.87752,-80.12977,942296.812258996,562124.562800407
