Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,61639,10025,NY,New York-Newark-Jersey City,New York County,New York,0,985100,-0.014012611,-0.038739266,-0.122561682,0.013503559,0.020890961,2018-01,2018-Q1,1137100,-0.13367338,2015-05
4/30/2019,84654,60657,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1,350200,-0.005396194,-0.00680658,-0.003131227,0.023697442,0.012104728,2019-02,2019-Q1,352800,-0.007369615,2018-10
4/30/2019,61637,10023,NY,New York-Newark-Jersey City,New York County,New York,2,1334100,-0.011777778,-0.020268782,-0.111074094,-0.010415307,0.017537748,2016-12,2016-Q4,1622700,-0.177851729,2013-08
4/30/2019,91982,77494,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,3,333200,-0.00059988,-0.006263048,0.001803969,0.032106574,0.030806121,2018-09,2018-Q3,338500,-0.015657312,2018-05
4/30/2019,84616,60614,IL,Chicago-Naperville-Elgin,Cook County,Chicago,4,428200,-0.004417577,-0.008796296,-0.001399254,0.031382576,0.019557699,2019-01,2019-Q1,432000,-0.008796296,2018-07
4/30/2019,91940,77449,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,5,181500,-0.007654456,-0.00219901,0.029495179,0.066896722,0.037253932,2019-02,2019-Q1,183200,-0.009279476,2019-01
4/30/2019,93144,79936,TX,El Paso,El Paso County,El Paso,6,128800,0,0.004680187,0.061830173,0.026701944,0.006850578,2007-10,2007-Q4,132400,-0.027190332,2007-06
4/30/2019,91733,77084,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7,175500,-0.009593679,0.001712329,0.069469835,0.066996758,0.036184761,2019-02,2019-Q1,177300,-0.010152284,2019-02
4/30/2019,61616,10002,NY,New York-Newark-Jersey City,New York County,New York,8,918400,-0.015859408,-0.031632223,-0.07288512,0.038752917,0.03113361,2017-10,2017-Q4,1010000,-0.090693069,2017-02
4/30/2019,61807,10467,NY,New York-Newark-Jersey City,Bronx County,New York,9,432900,0.003942486,0.020509194,0.083333333,0.067419942,0.032665402,2019-04,2019-Q2,432900,0,2019-04
4/30/2019,62037,11226,NY,New York-Newark-Jersey City,Kings County,New York,10,819000,-0.001949793,-0.011227816,0.048252912,0.118857576,0.063115164,2018-11,2018-Q4,830400,-0.013728324,2018-07
4/30/2019,84640,60640,IL,Chicago-Naperville-Elgin,Cook County,Chicago,11,238300,-0.000419463,0.003368421,-0.018937834,0.036390322,0.001694237,2007-01,2007-Q1,269900,-0.1170804,2004-09
4/30/2019,97564,94109,CA,San Francisco-Oakland-Hayward,San Francisco County,San Francisco,12,1224100,-0.010828283,-0.029416429,-0.000734694,0.047481529,0.051420479,2018-11,2018-Q4,1265300,-0.032561448,2017-09
