,Rec_Nbr,Unnamed: 0,address,lat_dir,latitude,lng_dir,longitude,phone,principal,school,type
0,0,0.0,"5536 NW 21ST AVENUE MIAMI, FL 33142",25.825129N,25.825129,80.230688W,-80.230688, (305)633-0308,CISELY J. SCOTT,AGENORIA S. PASCHAL/OLINDA ES,e
1,1,1.0,"5987 E 7 AVENUE HIALEAH, FL 33013",25.878578N,25.878578,80.269061W,-80.269061, (305)688-9619,LISA K. WIGGINS,AMELIA EARHART ES,e
2,2,2.0,"702 NE 137 STREET NORTH MIAMI, FL 33161",25.901334N,25.901334,80.182917W,-80.182917, (305)892-4000,DR. MARIE A. BAZILE,ARCH CREEK ELEMENTARY SCHOOL,e
3,3,3.0,"1037 NW 81ST STREET MIAMI, FL 33150",25.848748N,25.848748,80.214213W,-80.214213, (305)836-2820,DR. CYNTHIA L. HANNAH,ARCOLA LAKE ES,e
4,4,4.0,"3255 SW 6TH STREET MIAMI, FL 33135",25.766686N,25.766686,80.248073W,-80.248073, (305)445-3587,ANIA MARTI,AUBURNDALE ES,e
5,5,5.0,"16969 SW 294TH STREET MIAMI, FL 33030",25.493707N,25.493707,80.466208W,-80.466208, (305)247-4942,JACQUA J. LITTLE,AVOCADO ES,e
6,6,6.0,"3060 SW 85 AVENUE MIAMI, FL 33155",25.741073N,25.741073,80.333176W,-80.333176, (305)221-4011,CHERI A. DAVIS,BANYAN ES,e
7,7,7.0,"19010 NW 37TH AVENUE MIAMI GARDENS, FL 33056",25.946228N,25.946228,80.261657W,-80.261657, (305)624-2615,RHONDA Y. WILLIAMS,BARBARA HAWKINS ES,e
8,8,8.0,"10205 SW 194TH STREET CUTLER BAY, FL 33157",25.587428N,25.587428,80.355941W,-80.355941, (305)233-5401,PRUDENCE M. HILL,BEL-AIRE ES,e
9,9,9.0,"5700 W 24 AVENUE HIALEAH, FL 33016",25.874396N,25.874396,80.331227W,-80.331227, (305)556-2204,DR. EDUARDO J. TAGLE,BEN SHEPPARD ES,e
10,10,10.0,"4861 SW 140TH AVENUE MIAMI, FL 33175",25.721384N,25.721384,80.421028W,-80.421028, (305)221-0461,EMILY D. FALCON,BENT TREE ES,e
11,11,11.0,"800 77TH STREET MIAMI BEACH, FL 33141",25.862013N,25.862013,80.126702W,-80.12670200000001, (305)868-7727,KAREN D. VILLALBA-BELUSIC,BISCAYNE ES,e
12,12,12.0,"560 NW 151ST STREET MIAMI, FL 33169",25.913144N,25.913144,80.208732W,-80.208732, (305)681-5721,DEBORAH G. RIERA,BISCAYNE GARDENS ES,e
13,13,13.0,"9250 SW 52ND TERRACE MIAMI, FL 33165",25.71952N,25.719520000000003,80.344269W,-80.344269, (305)271-7411,ADRIAN M. SANCHEZ,BLUE LAKES ELEMENTARY,e
14,14,14.0,"3101 NW 191 STREET MIAMI GARDENS, FL 33056",25.947932N,25.947932,80.252656W,-80.252656, (305)624-2657,TAMIKA R. ROBINSON,BRENTWOOD ES,e
15,15,15.0,"3401 NW 83RD STREET MIAMI, FL 33147",25.849382N,25.849382000000002,80.253107W,-80.253107, (305)691-0861,DR. OMAR RIAZ,BROADMOOR ES,e
16,16,16.0,"16001 BUNCHE PARK DRIVE MIAMI GARDENS, FL 33054",25.920577N,25.920576999999998,80.239712W,-80.239712, (305)621-1469,JACQUELINE N. LEWIS,BUNCHE PARK ES,e
17,17,17.0,"9580 WEST CALUSA CLUB DRIVE MIAMI, FL 33186",25.678895N,25.678895,80.410452W,-80.410452, (305)385-0589,SUZET M. HERNANDEZ,CALUSA ES,e
18,18,18.0,"4375 NW 173RD DRIVE MIAMI GARDENS, FL 33055",25.932504N,25.932504,80.270761W,-80.270761, (305)621-0509,DR. THALYA WATKINS,CAROL CITY ES,e
