,Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI,Zip_Code,Latitude,Longitude
0,4/30/2019,72463,33160,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Sunny Isles Beach,69,328400,-0.020578586,-0.039766082,-0.036102142999999996,0.029115633,0.045131465999999995,2006-07,2006-Q3,398200,-0.1752888,2005-08,33160,25.933997,-80.135801
1,4/30/2019,72442,33139,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Beach,91,341800,0.014243323,0.02550255,-0.043916084,0.014220827,0.029689206,2016-12,2016-Q4,384200,-0.11035918800000001,2014-09,33139,25.779808,-80.1532
2,4/30/2019,72488,33186,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,The Crossings,243,315400,-0.0009502689999999999,0.002224341,0.056616415,0.087978316,0.046292413,2007-01,2007-Q1,331700,-0.04914079,2006-05,33186,25.654426,-80.41215600000001
3,4/30/2019,72350,33012,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,245,213500,-0.007899628,-0.0032679740000000003,0.058502727000000004,0.125908699,0.035173967,2007-09,2007-Q3,240200,-0.111157369,2006-06,33012,25.866106,-80.301115
4,4/30/2019,72460,33157,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Village of Palmetto Bay,409,329100,-0.004537205,-0.001819836,0.066429034,0.13270452300000002,0.060443854000000005,2007-04,2007-Q2,336300,-0.021409456,2006-09,33157,25.606126,-80.343496
5,4/30/2019,72353,33015,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Country Club,531,254500,-0.002352019,-0.013948081999999999,0.013944223,0.113162629,0.044098552,2007-05,2007-Q2,281300,-0.095271952,2006-04,33015,25.940565,-80.31818
6,4/30/2019,72444,33141,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami Beach,570,261200,-0.010606061000000002,-0.021356313,-0.01951952,0.044303612,0.030722096,2006-09,2006-Q3,340200,-0.23221634300000002,2005-06,33141,25.851854,-80.138726
7,4/30/2019,72480,33178,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Doral,640,337200,-0.004134672,-0.009109609,0.009278659,0.027449425,0.0269344,2007-06,2007-Q2,391000,-0.13759590800000002,2006-01,33178,25.834607000000002,-80.42290799999999
8,4/30/2019,72478,33176,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Kendall,811,316800,-0.0043997490000000005,-0.006585136,0.044510386,0.081416873,0.041330449,2006-07,2006-Q3,321000,-0.013084112,2006-05,33176,25.659873,-80.358354
9,4/30/2019,72428,33125,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,913,291100,-0.003082192,0.019614711,0.119615385,0.161844219,0.057902802999999996,2007-08,2007-Q3,313200,-0.070561941,2006-06,33125,25.783849,-80.23609
10,4/30/2019,72482,33180,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Aventura,1032,344800,-0.010048808000000001,-0.020732746,-0.042488198,0.0006975130000000001,0.026440829,2006-08,2006-Q3,458800,-0.24847428100000002,2005-01,33180,25.960389000000003,-80.143113
11,4/30/2019,72481,33179,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Ives Estates,1160,146700,-0.006097561,-0.005423729,0.071585099,0.10837342400000001,0.035097969,2007-01,2007-Q1,211100,-0.30506868800000003,2005-03,33179,25.957620000000002,-80.179998
12,4/30/2019,72433,33130,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1203,309000,0.001945525,0.011456628,0.00684262,0.031900958,0.03972605,2007-03,2007-Q1,309800,-0.002582311,2007-03,33130,25.768524,-80.20335899999999
13,4/30/2019,72429,33126,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1216,192300,0.000520291,0.005227392,0.064784053,0.10354051800000001,0.030497469,2007-05,2007-Q2,232100,-0.171477811,2005-09,33126,25.7794,-80.299475
14,4/30/2019,72464,33161,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,North Miami,1307,272800,-0.012667391,-0.01230992,0.067292645,0.19066038100000002,0.065534724,2007-04,2007-Q2,294600,-0.073998642,2006-06,33161,25.893664,-80.181539
15,4/30/2019,72468,33165,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,University Park,1309,375200,-0.007144747,-0.008194555,0.043671765999999994,0.10101292199999999,0.052700062,2007-06,2007-Q2,428800,-0.125,2006-01,33165,25.734345,-80.358271
16,4/30/2019,72477,33175,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Tamiami,1409,362700,-0.004391985,-0.003845098,0.050086856,0.101085744,0.050267435,2007-02,2007-Q1,393300,-0.077803204,2006-05,33175,25.734787,-80.406761
17,4/30/2019,72479,33177,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,South Miami Heights,1456,299800,-0.002329451,0.007392473,0.060113154,0.129610719,0.058621177999999996,2007-05,2007-Q2,312300,-0.040025616,2006-08,33177,25.596129,-80.40419399999999
18,4/30/2019,72437,33134,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Coral Gables,1463,463400,-0.014671486000000001,-0.021330517,-0.004938802,0.038900923999999996,0.040752593999999996,2006-10,2006-Q4,494200,-0.062322946,2006-03,33134,25.753332,-80.270379
19,4/30/2019,72497,33196,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,The Hammocks,1518,342500,-0.003201397,0.0017548989999999999,0.060371517,0.083083925,0.041760574,2007-04,2007-Q2,354300,-0.033305109,2006-07,33196,25.652131,-80.49050799999999
20,4/30/2019,72474,33172,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Fountainbleau,1678,187600,0.000533333,0.008602151,0.057497182,0.094758884,0.034839175,2007-05,2007-Q2,218400,-0.141025641,2005-11,33172,25.786909,-80.361253
21,4/30/2019,72356,33018,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,1682,323000,-0.001236858,0.003729024,0.070954907,0.110330111,0.051329821,2007-06,2007-Q2,330500,-0.02269289,2006-10,33018,25.917734,-80.384416
22,4/30/2019,72434,33131,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1797,396300,-0.0052710840000000005,-0.0072645290000000005,-0.019059406,0.017708705,0.037859211000000004,2007-06,2007-Q2,442600,-0.10460912800000001,2006-08,33131,25.766206,-80.182897
23,4/30/2019,72354,33016,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Hialeah,1800,185700,0.004326663,0.010337323,0.07902382299999999,0.139874185,0.036382987,2007-09,2007-Q3,209000,-0.111483254,2006-04,33016,25.896066,-80.33314
24,4/30/2019,72370,33032,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Princeton,1808,256300,-0.0023355389999999998,0.005098039,0.080067425,0.156472899,0.061957724000000006,2007-06,2007-Q2,275800,-0.070703408,2006-06,33032,25.531517,-80.3908
25,4/30/2019,72436,33133,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1883,605600,-0.008675724000000001,-0.012876936,-0.008188667,0.057414143,0.048789313,2019-02,2019-Q1,614200,-0.014001953999999999,2017-10,33133,25.728662,-80.23999599999999
26,4/30/2019,72458,33155,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,Miami,1890,388700,-0.008165348000000001,-0.008924018,0.046862375,0.09324608,0.052599493,2007-07,2007-Q3,432900,-0.10210210199999999,2006-04,33155,25.736887,-80.31076800000001
