,10Year,5Year,City,County,Date,LastTimeAtCurrZHVI,Latitude,Longitude,Metro,MoM,PctFallFromPeak,PeakMonth,PeakQuarter,PeakZHVI,QoQ,RegionID,RegionName,SizeRank,State,YoY,Zhvi,Zip_Code,address,phone,principal,school,type,ABUSE,ASSAULT & BATTERY,BURGLARY,CRIMINAL GANG,DRUGS & ALCOHOL,FIRE,GAMBLING,HOMICIDE,KIDNAPPING,MISCELLANEOUS CRIMES,PROTEST,SEXUAL MISCONDUCT,TREASON,WHITE COLLAR,Grand Total
0,0.045131466,0.029115633,Sunny Isles Beach,Miami-Dade County,4/30/2019,2005-08,25.933997,-80.135801,Miami-Fort Lauderdale-West Palm Beach,-0.020578586,-0.1752888,2006-07,2006-Q3,398200,-0.039766082,72463,33160,69,FL,-0.036102143,328400,33160, , , , ,r,4,441,166,,351,9,1,2,5,450,,17,26,35,1507
1,0.029689206,0.014220827,Miami Beach,Miami-Dade County,4/30/2019,2014-09,25.779808,-80.1532,Miami-Fort Lauderdale-West Palm Beach,0.014243323,-0.110359188,2016-12,2016-Q4,384200,0.02550255,72442,33139,91,FL,-0.043916084,341800,33139, , , , ,r,,,,,,,,,,,,,,,
2,0.046292413,0.087978316,The Crossings,Miami-Dade County,4/30/2019,2006-05,25.654426,-80.412156,Miami-Fort Lauderdale-West Palm Beach,-0.000950269,-0.04914079,2007-01,2007-Q1,331700,0.002224341,72488,33186,243,FL,0.056616415,315400,33186, , , , ,r,,1,,,,,,,,,,,1,2,
3,0.035173967,0.125908699,Hialeah,Miami-Dade County,4/30/2019,2006-06,25.866106,-80.301115,Miami-Fort Lauderdale-West Palm Beach,-0.007899628,-0.111157369,2007-09,2007-Q3,240200,-0.003267974,72350,33012,245,FL,0.058502727,213500,33012, , , , ,r,,,,,1,,,,,,,,,,1
4,0.060443854,0.132704523,Village of Palmetto Bay,Miami-Dade County,4/30/2019,2006-09,25.606126,-80.343496,Miami-Fort Lauderdale-West Palm Beach,-0.004537205,-0.021409456,2007-04,2007-Q2,336300,-0.001819836,72460,33157,409,FL,0.066429034,329100,33157, , , , ,r,,,,,,,,,,,,,,,
5,0.044098552,0.113162629,Country Club,Miami-Dade County,4/30/2019,2006-04,25.940565,-80.31818,Miami-Fort Lauderdale-West Palm Beach,-0.002352019,-0.095271952,2007-05,2007-Q2,281300,-0.013948082,72353,33015,531,FL,0.013944223,254500,33015, , , , ,r,,,,,,,,,,,,,,,
6,0.030722096,0.044303612,Miami Beach,Miami-Dade County,4/30/2019,2005-06,25.851854,-80.138726,Miami-Fort Lauderdale-West Palm Beach,-0.010606061,-0.232216343,2006-09,2006-Q3,340200,-0.021356313,72444,33141,570,FL,-0.01951952,261200,33141, , , , ,r,,,,,,,,,,,,,,,
7,0.0269344,0.027449425,Doral,Miami-Dade County,4/30/2019,2006-01,25.834607,-80.422908,Miami-Fort Lauderdale-West Palm Beach,-0.004134672,-0.137595908,2007-06,2007-Q2,391000,-0.009109609,72480,33178,640,FL,0.009278659,337200,33178, , , , ,r,,,1,,1,,,,,4,,2,,,8
8,0.041330449,0.081416873,Kendall,Miami-Dade County,4/30/2019,2006-05,25.659873,-80.358354,Miami-Fort Lauderdale-West Palm Beach,-0.004399749,-0.013084112,2006-07,2006-Q3,321000,-0.006585136,72478,33176,811,FL,0.044510386,316800,33176, , , , ,r,,,,,,,,,,,,,,,
9,0.057902803,0.161844219,Miami,Miami-Dade County,4/30/2019,2006-06,25.783849,-80.23609,Miami-Fort Lauderdale-West Palm Beach,-0.003082192,-0.070561941,2007-08,2007-Q3,313200,0.019614711,72428,33125,913,FL,0.119615385,291100,33125, , , , ,r,,,,,,,,,,,,,,,
10,0.026440829,0.000697513,Aventura,Miami-Dade County,4/30/2019,2005-01,25.960389,-80.143113,Miami-Fort Lauderdale-West Palm Beach,-0.010048808,-0.248474281,2006-08,2006-Q3,458800,-0.020732746,72482,33180,1032,FL,-0.042488198,344800,33180, , , , ,r,,3,1,,3,1,,,,1,,,,,9
11,0.035097969,0.108373424,Ives Estates,Miami-Dade County,4/30/2019,2005-03,25.95762,-80.179998,Miami-Fort Lauderdale-West Palm Beach,-0.006097561,-0.305068688,2007-01,2007-Q1,211100,-0.005423729,72481,33179,1160,FL,0.071585099,146700,33179, , , , ,r,,,,,,,,,,,,,,,
12,0.03972605,0.031900958,Miami,Miami-Dade County,4/30/2019,2007-03,25.768524,-80.203359,Miami-Fort Lauderdale-West Palm Beach,0.001945525,-0.002582311,2007-03,2007-Q1,309800,0.011456628,72433,33130,1203,FL,0.00684262,309000,33130, , , , ,r,,,,,,,,,,,,,,,
13,0.030497469,0.103540518,Miami,Miami-Dade County,4/30/2019,2005-09,25.7794,-80.299475,Miami-Fort Lauderdale-West Palm Beach,0.000520291,-0.171477811,2007-05,2007-Q2,232100,0.005227392,72429,33126,1216,FL,0.064784053,192300,33126, , , , ,r,1,474,187,,480,20,,3,5,757,,47,45,32,2051
14,0.065534724,0.190660381,North Miami,Miami-Dade County,4/30/2019,2006-06,25.893664,-80.181539,Miami-Fort Lauderdale-West Palm Beach,-0.012667391,-0.073998642,2007-04,2007-Q2,294600,-0.01230992,72464,33161,1307,FL,0.067292645,272800,33161, , , , ,r,,,,,,,,,,,,,,,
15,0.052700062,0.101012922,University Park,Miami-Dade County,4/30/2019,2006-01,25.734345,-80.358271,Miami-Fort Lauderdale-West Palm Beach,-0.007144747,-0.125,2007-06,2007-Q2,428800,-0.008194555,72468,33165,1309,FL,0.043671766,375200,33165, , , , ,r,,,,,,,,,,,,,,,
