Row Labels,zip,ABUSE,ASSAULT & BATTERY,BURGLARY,CRIMINAL GANG,DRUGS & ALCOHOL,FIRE,GAMBLING,HOMICIDE,KIDNAPPING,MISCELLANEOUS CRIMES,PROTEST,SEXUAL MISCONDUCT,TREASON,WHITE COLLAR,Grand Total
ALAMONTE SPRING,0,,,,,,,,,,1,,,,,1
AVENTURA,33180,,3,1,,3,1,,,,1,,,,,9
BAL HARBOUR,33154,1,68,9,,54,3,,,,60,,4,2,7,208
BAY COUNTY,0,,,,,,,,,,2,,,,,2
BIG PINE FL,0,,,,,,,,,,1,,,,,1
BIG PINE KEY,0,,2,,,3,,,,1,6,,,,,12
BOCA RATON,0,,,,,1,,,,,3,,,,,4
BOGATA,0,,,,,,,,,,,,,,1,1
BOYNTON BEACH,0,,,,,1,,,,,,,,,,1
BRAZIL,0,,,,,,,,,,1,,,,,1
BRICKELL,33131,,,,,,,,,,,,1,,,1
BROOKLYN,0,,,,,,,,,,2,,,,,2
CHATTAHOOCHEE,0,,,,,,,,,,1,,,,,1
CLEWISTON,0,,,,,,,,,,1,,,,,1
COCONUT CREEK,0,,,,,1,,,1,,1,,,,,3
COCONUT GROVE,33133,,,,,,,,,,1,,,,,1
COLEMAN,0,,,,,,,,,,1,,,,,1
CORAL GABLES,33145,,1,2,,1,,,,,,,,,,4
CORAL SPRINGS,0,,,,,1,,,,,5,,,,,6
CPE CANAVERAL,0,,,,,5,,,,,2,,,,,7
CUTLER BAY,33189,,2,,,,,,,,1,,,,,3
DANIA,0,,,,,,,,,,1,,,,,1
DANIA BEACH,0,,1,,,1,,,,,1,,,,,3
DAVENPORT,0,,,,,1,,,,,,,,,,1
DAVIE,0,,,,,1,,,,,1,,,,,2
DE LEON SPRINGS,0,,,,,,,,,,1,,,,,1
DEERFIELD BEACH,0,,1,,,,,,,,1,,,,,2
DELRAY BEACH,0,,1,,,,,,,,1,,,,,2
DORAL,33178,,,1,,1,,,,,4,,2,,,8
E BAY VILLAGE,0,,,,,,,,,,1,,,,,1
EL PORTAL,0,,29,5,,18,,,1,,40,,2,1,3,99
FL,0,,1,,,2,,,,,2,,,1,,6
FLORIDA CITY,33030,,5,1,,7,2,,,,15,,1,,,31
FORT LAUDERDALE,0,1,229,46,,207,5,3,4,1,352,1,20,19,16,904
FORT MYERS,0,,2,,,5,,,,,17,,,,1,25
FORT PIERCE,0,,1,,,4,,,,,8,,,1,,14
FORT WALTON BEACH,0,,2,,,,,,,,,,,,,2
FRISCO,0,,,,,,,,,,1,,,,,1
HAINES CITY,0,,,,,,,,,,2,,,,,2
HALLANDALE BEACH,0,,1,1,,5,,,,,7,,,,,14
HIALEAH,33014,1,21,6,,17,,,,,23,,,1,1,70
HIALEAH GARDENS,33016,,,,,1,,,,,,,,,,1
HILLSBOROUGH,0,,,,,,,,,,1,,,,,1
HOLLYWOOD,0,,6,,,6,,,,,38,,,,,50
HOMELESS,0,9,2066,1610,,3053,126,1,26,15,3174,,370,82,94,10626
HOMESTEAD,33030,1,20,4,,24,,,1,1,23,,5,1,2,82
IND CRK VLG,0,,1,,,,,,,,,,,,,1
JACKSONVILLE,0,,,,,,,,,,3,,,,,3
JASPER,0,,,,,,,,,,1,,,,,1
JAX BEACH,0,,,,,1,,,,,2,,,,,3
JUPITER,0,,1,,,,,,,,,,,,,1
KENDALL,33186,,,1,,,,,,,,,,,1,2
KEY BISCAYNE,33149,,37,12,,32,,,,1,33,,,3,,118
KEY COLONY BEACH,0,,,,,1,,,,,,,,,,1
KEY LARGO,0,,15,4,,28,1,,,,57,,2,1,2,110
KEY WEST,0,,23,7,1,20,,,,,59,,,1,,111
KISSIMMEE,0,,,1,,,,,,,1,,,,,2
LAKE WORTH,0,,,,,,,,,,1,,,,,1
LAS VEGAS,0,,1,,,,,,,,,,1,,,2
LAUDERDALE LAKES,0,,,,,,,,,,4,,,,1,5
LAUDERHILL,0,,1,1,,,,,,,4,,,,1,7
LEEHIGH ACRES,0,,,,,,,,,,2,,,,,2
LOS ANGELES,0,,2,,,3,1,,,,,,,,,6
LOVINGTON,0,,,,,,,,,,1,,,,,1
LTL TORCH KEY,0,,,,,1,,,,,,,,,,1
MARATHON,0,,1,,,1,,,,,6,,,,,8
