,Booking_year_month,Booking_month,DOB_month,lat,lon,Age<25,Age26-50,Age>50,Summer,Spring,Winter,Autum,total_crime,day_of_week_Monday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_Thursday,day_of_week_Friday,day_of_week_Saturday,day_of_week_Sunday,CityRN_FOREIGN,CityRN_HOMELESS,CityRN_MIAMI
0,2015-05,70,118,463.00919700000003,-1265.7782379999999,3,7,4,0,14,0,0,14,0,0,0,0,3,4,7,0,3,5
1,2015-06,792,940,4604.906087000008,-12229.070070000002,13,91,28,0,132,0,0,132,22,13,23,24,19,20,11,3,38,65
2,2015-07,994,942,4945.943302000006,-13122.614295999994,18,92,32,142,0,0,0,142,14,13,29,28,23,21,14,2,52,54
3,2015-08,1224,1013,5414.426473000006,-14310.878012999998,15,112,26,153,0,0,0,153,24,17,20,20,18,22,32,5,43,68
4,2015-09,1089,803,4301.9377100000065,-11302.902728999996,11,84,26,121,0,0,0,121,13,22,23,24,13,10,16,5,44,46
5,2015-10,1560,1057,5531.028093000007,-14581.069766999995,16,92,48,0,0,0,156,156,13,16,21,39,18,26,23,4,46,75
6,2015-11,1254,774,4117.901622000006,-10495.134785999999,4,81,29,0,0,0,114,114,18,18,25,15,13,17,8,3,42,52
7,2015-12,1548,891,4544.050878000007,-11911.328275000002,11,90,28,0,0,0,129,129,16,15,22,35,12,15,14,7,37,64
8,2016-01,130,854,4500.001630000008,-11800.807224,13,81,36,0,0,130,0,130,14,14,13,30,21,23,15,4,43,57
9,2016-02,246,754,4507.7499310000085,-11623.514454,16,67,40,0,0,123,0,123,23,15,23,20,16,15,11,2,37,67
10,2016-03,414,861,5029.36113800001,-13124.297908999997,13,94,31,0,0,138,0,138,16,25,20,26,16,20,15,4,47,65
11,2016-04,520,819,4548.6749920000075,-12080.570405999997,8,94,28,0,130,0,0,130,22,22,20,22,12,14,18,3,44,57
12,2016-05,660,769,4620.673708000005,-12253.043986999997,16,85,31,0,132,0,0,132,17,21,20,24,20,18,12,5,38,63
13,2016-06,912,1047,5378.275390000008,-14153.429922999998,19,82,51,0,152,0,0,152,18,21,30,27,17,21,18,1,53,74
14,2016-07,1001,896,5175.271590000008,-13534.266368999997,20,92,31,143,0,0,0,143,18,23,25,17,22,20,18,6,54,64
15,2016-08,1240,924,5757.4435590000085,-14781.156733999997,9,108,38,155,0,0,0,155,22,23,25,26,24,21,14,4,56,76
16,2016-09,1332,1034,5256.839255000011,-13845.241886999998,8,97,43,148,0,0,0,148,20,23,25,28,27,14,11,5,42,75
17,2016-10,1210,776,4290.159133000008,-11320.193514999999,17,80,24,0,0,0,121,121,20,19,15,18,9,15,25,5,34,62
18,2016-11,1276,760,4126.419324000008,-10874.614818,12,84,20,0,0,0,116,116,20,17,25,14,13,9,18,2,33,61
19,2016-12,1596,880,4688.479356000006,-12382.059542999996,10,82,41,0,0,0,133,133,14,17,24,31,17,20,10,5,39,61
20,2017-01,153,970,5445.076837000008,-14371.318532999998,17,111,25,0,0,153,0,153,26,25,25,27,17,15,18,4,43,73
21,2017-02,270,859,4882.233215000009,-12790.134150999997,18,95,22,0,0,135,0,135,22,16,24,30,17,16,10,2,47,61
22,2017-03,375,847,4437.6266070000065,-11732.966424,12,81,32,0,0,125,0,125,10,24,20,31,19,13,8,6,41,58
23,2017-04,488,850,4298.482187000007,-11194.615129999996,11,78,33,0,122,0,0,122,17,13,21,25,17,17,12,1,41,61
24,2017-05,800,1126,5672.060901000006,-14809.501538999997,20,100,40,0,160,0,0,160,23,22,30,19,29,15,22,4,39,78
25,2017-06,762,817,4621.407164000008,-12074.383416,16,83,28,0,127,0,0,127,12,23,26,25,14,14,13,2,45,64
26,2017-07,868,739,4376.300343000008,-11563.534154999998,12,80,32,124,0,0,0,124,17,17,15,28,10,21,16,4,38,56
27,2017-08,1200,984,5517.458091000009,-14236.643503999998,20,97,33,150,0,0,0,150,14,27,30,25,15,25,14,3,46,70
28,2017-09,990,761,3917.852898000007,-10304.679258999999,16,60,34,110,0,0,0,110,14,16,16,13,19,14,18,6,30,53
29,2017-10,1320,817,4780.445305000008,-12532.183062,10,85,37,0,0,0,132,132,18,23,27,15,20,10,19,2,44,68
30,2017-11,1342,838,4473.073036000008,-11664.025053000001,21,83,18,0,0,0,122,122,15,16,24,19,15,21,12,4,31,63
31,2017-12,1548,850,4694.532373000006,-12287.319642,17,81,31,0,0,0,129,129,20,15,29,16,13,12,24,5,45,56
32,2018-01,144,933,5216.975425000009,-13656.709168,24,93,27,0,0,144,0,144,25,23,34,18,19,14,11,4,37,81
33,2018-02,262,897,4712.30248100001,-12381.805958,26,83,22,0,0,131,0,131,23,18,19,31,14,13,13,6,35,72
