,Booking_year_month,total_crime,total_crime_3,age<25_3,age26-50_3,age>50_3,day_of_week_Monday_3,day_of_week_Tuesday_3,day_of_week_Wednesday_3,day_of_week_Thursday_3,day_of_week_Friday_3,day_of_week_Saturday_3,day_of_week_Sunday_3,summer_3,spring_3,winter_3,autum_3,CityRN_FOREIGN_3,CityRN_HOMELESS_3,CityRN_MIAMI_3,total_crime_2,Age<25_2,Age26-50_2,Age>50_2,day_of_week_Monday_2,day_of_week_Tuesday_2,day_of_week_Wednesday_2,day_of_week_Thursday_2,day_of_week_Friday_2,day_of_week_Saturday_2,day_of_week_Sunday_2,summer_2,spring_2,winter_2,autum_2,CityRN_FOREIGN_2,CityRN_HOMELESS_2,CityRN_MIAMI_2,total_crime_1,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
4,2015-09,121,132,13,91,28,22,13,23,24,19,20,11,0,1,0,0,3,38,65,142,18,92,32,14,13,29,28,23,21,14,1,0,0,0,2,52,54,153,15,112,26,24,17,20,20,18,22,32,1,0,0,0,5,43,68
5,2015-10,156,142,18,92,32,14,13,29,28,23,21,14,1,0,0,0,2,52,54,153,15,112,26,24,17,20,20,18,22,32,1,0,0,0,5,43,68,121,11,84,26,13,22,23,24,13,10,16,1,0,0,0,5,44,46
6,2015-11,114,153,15,112,26,24,17,20,20,18,22,32,1,0,0,0,5,43,68,121,11,84,26,13,22,23,24,13,10,16,1,0,0,0,5,44,46,156,16,92,48,13,16,21,39,18,26,23,0,0,0,1,4,46,75
7,2015-12,129,121,11,84,26,13,22,23,24,13,10,16,1,0,0,0,5,44,46,156,16,92,48,13,16,21,39,18,26,23,0,0,0,1,4,46,75,114,4,81,29,18,18,25,15,13,17,8,0,0,0,1,3,42,52
8,2016-01,130,156,16,92,48,13,16,21,39,18,26,23,0,0,0,1,4,46,75,114,4,81,29,18,18,25,15,13,17,8,0,0,0,1,3,42,52,129,11,90,28,16,15,22,35,12,15,14,0,0,0,1,7,37,64
9,2016-02,123,114,4,81,29,18,18,25,15,13,17,8,0,0,0,1,3,42,52,129,11,90,28,16,15,22,35,12,15,14,0,0,0,1,7,37,64,130,13,81,36,14,14,13,30,21,23,15,0,0,1,0,4,43,57
10,2016-03,138,129,11,90,28,16,15,22,35,12,15,14,0,0,0,1,7,37,64,130,13,81,36,14,14,13,30,21,23,15,0,0,1,0,4,43,57,123,16,67,40,23,15,23,20,16,15,11,0,0,1,0,2,37,67
11,2016-04,130,130,13,81,36,14,14,13,30,21,23,15,0,0,1,0,4,43,57,123,16,67,40,23,15,23,20,16,15,11,0,0,1,0,2,37,67,138,13,94,31,16,25,20,26,16,20,15,0,0,1,0,4,47,65
12,2016-05,132,123,16,67,40,23,15,23,20,16,15,11,0,0,1,0,2,37,67,138,13,94,31,16,25,20,26,16,20,15,0,0,1,0,4,47,65,130,8,94,28,22,22,20,22,12,14,18,0,1,0,0,3,44,57
13,2016-06,152,138,13,94,31,16,25,20,26,16,20,15,0,0,1,0,4,47,65,130,8,94,28,22,22,20,22,12,14,18,0,1,0,0,3,44,57,132,16,85,31,17,21,20,24,20,18,12,0,1,0,0,5,38,63
14,2016-07,143,130,8,94,28,22,22,20,22,12,14,18,0,1,0,0,3,44,57,132,16,85,31,17,21,20,24,20,18,12,0,1,0,0,5,38,63,152,19,82,51,18,21,30,27,17,21,18,0,1,0,0,1,53,74
15,2016-08,155,132,16,85,31,17,21,20,24,20,18,12,0,1,0,0,5,38,63,152,19,82,51,18,21,30,27,17,21,18,0,1,0,0,1,53,74,143,20,92,31,18,23,25,17,22,20,18,1,0,0,0,6,54,64
16,2016-09,148,152,19,82,51,18,21,30,27,17,21,18,0,1,0,0,1,53,74,143,20,92,31,18,23,25,17,22,20,18,1,0,0,0,6,54,64,155,9,108,38,22,23,25,26,24,21,14,1,0,0,0,4,56,76
17,2016-10,121,143,20,92,31,18,23,25,17,22,20,18,1,0,0,0,6,54,64,155,9,108,38,22,23,25,26,24,21,14,1,0,0,0,4,56,76,148,8,97,43,20,23,25,28,27,14,11,1,0,0,0,5,42,75
18,2016-11,116,155,9,108,38,22,23,25,26,24,21,14,1,0,0,0,4,56,76,148,8,97,43,20,23,25,28,27,14,11,1,0,0,0,5,42,75,121,17,80,24,20,19,15,18,9,15,25,0,0,0,1,5,34,62
19,2016-12,133,148,8,97,43,20,23,25,28,27,14,11,1,0,0,0,5,42,75,121,17,80,24,20,19,15,18,9,15,25,0,0,0,1,5,34,62,116,12,84,20,20,17,25,14,13,9,18,0,0,0,1,2,33,61
20,2017-01,153,121,17,80,24,20,19,15,18,9,15,25,0,0,0,1,5,34,62,116,12,84,20,20,17,25,14,13,9,18,0,0,0,1,2,33,61,133,10,82,41,14,17,24,31,17,20,10,0,0,0,1,5,39,61
21,2017-02,135,116,12,84,20,20,17,25,14,13,9,18,0,0,0,1,2,33,61,133,10,82,41,14,17,24,31,17,20,10,0,0,0,1,5,39,61,153,17,111,25,26,25,25,27,17,15,18,0,0,1,0,4,43,73
22,2017-03,125,133,10,82,41,14,17,24,31,17,20,10,0,0,0,1,5,39,61,153,17,111,25,26,25,25,27,17,15,18,0,0,1,0,4,43,73,135,18,95,22,22,16,24,30,17,16,10,0,0,1,0,2,47,61
23,2017-04,122,153,17,111,25,26,25,25,27,17,15,18,0,0,1,0,4,43,73,135,18,95,22,22,16,24,30,17,16,10,0,0,1,0,2,47,61,125,12,81,32,10,24,20,31,19,13,8,0,0,1,0,6,41,58
