,Booking_year_month,total_crime,total_crime_1,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
3,2015-08,153,142.0,18.0,92.0,32.0,14.0,13.0,29.0,28.0,23.0,21.0,14.0,1.0,0.0,0.0,0.0,2.0,52.0,54.0
4,2015-09,121,153.0,15.0,112.0,26.0,24.0,17.0,20.0,20.0,18.0,22.0,32.0,1.0,0.0,0.0,0.0,5.0,43.0,68.0
5,2015-10,156,121.0,11.0,84.0,26.0,13.0,22.0,23.0,24.0,13.0,10.0,16.0,1.0,0.0,0.0,0.0,5.0,44.0,46.0
6,2015-11,114,156.0,16.0,92.0,48.0,13.0,16.0,21.0,39.0,18.0,26.0,23.0,0.0,0.0,0.0,1.0,4.0,46.0,75.0
7,2015-12,129,114.0,4.0,81.0,29.0,18.0,18.0,25.0,15.0,13.0,17.0,8.0,0.0,0.0,0.0,1.0,3.0,42.0,52.0
8,2016-01,130,129.0,11.0,90.0,28.0,16.0,15.0,22.0,35.0,12.0,15.0,14.0,0.0,0.0,0.0,1.0,7.0,37.0,64.0
9,2016-02,123,130.0,13.0,81.0,36.0,14.0,14.0,13.0,30.0,21.0,23.0,15.0,0.0,0.0,1.0,0.0,4.0,43.0,57.0
10,2016-03,138,123.0,16.0,67.0,40.0,23.0,15.0,23.0,20.0,16.0,15.0,11.0,0.0,0.0,1.0,0.0,2.0,37.0,67.0
11,2016-04,130,138.0,13.0,94.0,31.0,16.0,25.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,1.0,0.0,4.0,47.0,65.0
12,2016-05,132,130.0,8.0,94.0,28.0,22.0,22.0,20.0,22.0,12.0,14.0,18.0,0.0,1.0,0.0,0.0,3.0,44.0,57.0
13,2016-06,152,132.0,16.0,85.0,31.0,17.0,21.0,20.0,24.0,20.0,18.0,12.0,0.0,1.0,0.0,0.0,5.0,38.0,63.0
14,2016-07,143,152.0,19.0,82.0,51.0,18.0,21.0,30.0,27.0,17.0,21.0,18.0,0.0,1.0,0.0,0.0,1.0,53.0,74.0
15,2016-08,155,143.0,20.0,92.0,31.0,18.0,23.0,25.0,17.0,22.0,20.0,18.0,1.0,0.0,0.0,0.0,6.0,54.0,64.0
16,2016-09,148,155.0,9.0,108.0,38.0,22.0,23.0,25.0,26.0,24.0,21.0,14.0,1.0,0.0,0.0,0.0,4.0,56.0,76.0
17,2016-10,121,148.0,8.0,97.0,43.0,20.0,23.0,25.0,28.0,27.0,14.0,11.0,1.0,0.0,0.0,0.0,5.0,42.0,75.0
18,2016-11,116,121.0,17.0,80.0,24.0,20.0,19.0,15.0,18.0,9.0,15.0,25.0,0.0,0.0,0.0,1.0,5.0,34.0,62.0
19,2016-12,133,116.0,12.0,84.0,20.0,20.0,17.0,25.0,14.0,13.0,9.0,18.0,0.0,0.0,0.0,1.0,2.0,33.0,61.0
20,2017-01,153,133.0,10.0,82.0,41.0,14.0,17.0,24.0,31.0,17.0,20.0,10.0,0.0,0.0,0.0,1.0,5.0,39.0,61.0
21,2017-02,135,153.0,17.0,111.0,25.0,26.0,25.0,25.0,27.0,17.0,15.0,18.0,0.0,0.0,1.0,0.0,4.0,43.0,73.0
22,2017-03,125,135.0,18.0,95.0,22.0,22.0,16.0,24.0,30.0,17.0,16.0,10.0,0.0,0.0,1.0,0.0,2.0,47.0,61.0
23,2017-04,122,125.0,12.0,81.0,32.0,10.0,24.0,20.0,31.0,19.0,13.0,8.0,0.0,0.0,1.0,0.0,6.0,41.0,58.0
24,2017-05,160,122.0,11.0,78.0,33.0,17.0,13.0,21.0,25.0,17.0,17.0,12.0,0.0,1.0,0.0,0.0,1.0,41.0,61.0
