Booking_year_month,Age<25,Age26-50,Age>50,Booking_month,Summer,Spring,Winter,Autum,total_crime,day_of_week_Monday,day_of_week_Tuesday,day_of_week_Wednesday,day_of_week_Thursday,day_of_week_Friday,day_of_week_Saturday,day_of_week_Sunday,CityRN_FOREIGN,CityRN_HOMELESS,CityRN_MIAMI
2015-05,2,7,4,65,0,13,0,0,13,0,0,0,0,3,4,6,2,3,8
2015-06,13,92,28,798,0,133,0,0,133,22,13,23,24,20,20,11,9,38,86
2015-07,17,94,32,1001,143,0,0,0,143,14,13,30,29,22,21,14,13,52,78
2015-08,16,110,26,1216,152,0,0,0,152,25,17,21,18,18,22,31,14,41,97
2015-09,11,83,26,1080,120,0,0,0,120,14,22,23,23,12,10,16,10,44,66
2015-10,16,93,49,1580,0,0,0,158,158,13,17,21,41,18,26,22,10,48,100
2015-11,4,82,28,1254,0,0,0,114,114,17,18,25,15,13,18,8,5,42,67
2015-12,11,89,28,1536,0,0,0,128,128,16,15,22,35,11,15,14,11,37,80
2016-01,13,81,35,129,0,0,129,0,129,14,14,12,30,21,23,15,13,43,73
2016-02,15,64,40,238,0,0,119,0,119,23,15,22,18,15,15,11,6,35,78
2016-03,13,92,31,408,0,0,136,0,136,15,24,20,26,16,20,15,5,45,86
2016-04,8,96,28,528,0,132,0,0,132,21,22,20,24,12,15,18,9,46,77
2016-05,16,84,31,655,0,131,0,0,131,18,20,20,23,20,18,12,6,38,87
2016-06,19,81,51,906,0,151,0,0,151,18,21,30,26,17,21,18,7,51,93
2016-07,20,89,29,966,138,0,0,0,138,18,22,24,17,21,19,17,10,49,79
2016-08,9,107,38,1232,154,0,0,0,154,22,22,25,27,24,21,13,9,52,93
2016-09,8,95,43,1314,146,0,0,0,146,19,22,25,28,27,14,11,11,41,94
2016-10,17,81,24,1220,0,0,0,122,122,20,20,15,18,9,16,24,8,37,77
2016-11,12,83,20,1265,0,0,0,115,115,19,17,25,14,13,9,18,6,34,75
2016-12,11,80,40,1572,0,0,0,131,131,14,17,23,31,17,19,10,14,37,80
2017-01,15,113,26,154,0,0,154,0,154,25,26,25,27,18,15,18,13,46,95
2017-02,19,95,22,272,0,0,136,0,136,22,16,23,30,18,17,10,10,48,78
2017-03,13,82,34,387,0,0,129,0,129,12,24,20,31,20,14,8,13,41,75
2017-04,11,76,33,480,0,120,0,0,120,16,12,21,26,17,17,11,5,41,74
2017-05,20,99,40,795,0,159,0,0,159,22,23,30,18,29,15,22,14,40,105
2017-06,17,80,28,750,0,125,0,0,125,12,23,25,25,14,14,12,3,44,78
2017-07,14,80,32,882,126,0,0,0,126,18,16,17,28,9,22,16,10,39,77
2017-08,20,99,32,1208,151,0,0,0,151,14,25,31,26,15,26,14,12,48,91
2017-09,16,60,35,999,111,0,0,0,111,14,16,17,14,19,14,17,9,33,69
2017-10,10,85,36,1310,0,0,0,131,131,18,23,25,16,20,10,19,6,43,82
2017-11,21,84,18,1353,0,0,0,123,123,15,16,26,18,15,21,12,10,31,82
2017-12,18,81,30,1548,0,0,0,129,129,20,16,30,16,14,11,22,9,42,78
2018-01,24,95,27,146,0,0,146,0,146,26,23,35,18,20,13,11,10,37,99
2018-02,24,83,22,258,0,0,129,0,129,22,19,20,30,13,12,13,10,35,84
2018-03,24,94,30,444,0,0,148,0,148,18,20,27,28,22,19,14,2,46,100
2018-04,28,92,35,620,0,155,0,0,155,29,7,32,32,19,16,20,11,45,99
2018-05,14,105,25,720,0,144,0,0,144,13,17,42,31,14,11,16,6,44,94
2018-06,19,84,22,750,0,125,0,0,125,14,18,14,27,17,22,13,6,38,81
2018-07,18,85,34,959,137,0,0,0,137,22,22,23,20,17,12,21,6,49,82
2018-08,19,83,24,1008,126,0,0,0,126,17,14,21,29,14,17,14,5,44,77
2018-09,12,89,23,1116,124,0,0,0,124,9,15,18,25,18,18,21,7,37,80
2018-10,16,96,22,1340,0,0,0,134,134,23,10,33,30,20,8,10,8,38,88
2018-11,13,82,27,1342,0,0,0,122,122,10,16,22,29,20,10,15,8,48,66
2018-12,23,80,18,1452,0,0,0,121,121,11,13,22,18,13,26,18,8,46,67
2019-01,23,98,30,151,0,0,151,0,151,23,20,23,35,22,17,11,9,52,90
2019-02,25,94,30,298,0,0,149,0,149,14,19,40,33,16,11,16,11,42,96
2019-03,26,87,30,429,0,0,143,0,143,16,15,26,24,33,10,19,9,39,95
2019-04,28,78,32,552,0,138,0,0,138,28,21,24,22,13,16,14,13,30,95
2019-05,22,95,29,730,0,146,0,0,146,13,25,34,17,15,22,20,12,40,94
2019-06,8,42,12,372,0,62,0,0,62,11,14,10,8,8,8,3,9,29,24
