,Booking_year_month,total_crime,total_crime_3,age<25_3,age26-50_3,age>50_3,day_of_week_Monday_3,day_of_week_Tuesday_3,day_of_week_Wednesday_3,day_of_week_Thursday_3,day_of_week_Friday_3,day_of_week_Saturday_3,day_of_week_Sunday_3,summer_3,spring_3,winter_3,autum_3,CityRN_FOREIGN_3,CityRN_HOMELESS_3,CityRN_MIAMI_3,total_crime_2,Age<25_2,Age26-50_2,Age>50_2,day_of_week_Monday_2,day_of_week_Tuesday_2,day_of_week_Wednesday_2,day_of_week_Thursday_2,day_of_week_Friday_2,day_of_week_Saturday_2,day_of_week_Sunday_2,summer_2,spring_2,winter_2,autum_2,CityRN_FOREIGN_2,CityRN_HOMELESS_2,CityRN_MIAMI_2,total_crime_1,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
3,2015-08,152,13.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,13.0,0.0,0.0,2.0,3.0,8.0,133.0,13.0,92.0,28.0,22.0,13.0,23.0,24.0,20.0,20.0,11.0,0.0,133.0,0.0,0.0,9.0,38.0,86.0,143.0,17.0,94.0,32.0,14.0,13.0,30.0,29.0,22.0,21.0,14.0,143.0,0.0,0.0,0.0,13.0,52.0,78.0
4,2015-09,120,133.0,13.0,92.0,28.0,22.0,13.0,23.0,24.0,20.0,20.0,11.0,0.0,133.0,0.0,0.0,9.0,38.0,86.0,143.0,17.0,94.0,32.0,14.0,13.0,30.0,29.0,22.0,21.0,14.0,143.0,0.0,0.0,0.0,13.0,52.0,78.0,152.0,16.0,110.0,26.0,25.0,17.0,21.0,18.0,18.0,22.0,31.0,152.0,0.0,0.0,0.0,14.0,41.0,97.0
5,2015-10,158,143.0,17.0,94.0,32.0,14.0,13.0,30.0,29.0,22.0,21.0,14.0,143.0,0.0,0.0,0.0,13.0,52.0,78.0,152.0,16.0,110.0,26.0,25.0,17.0,21.0,18.0,18.0,22.0,31.0,152.0,0.0,0.0,0.0,14.0,41.0,97.0,120.0,11.0,83.0,26.0,14.0,22.0,23.0,23.0,12.0,10.0,16.0,120.0,0.0,0.0,0.0,10.0,44.0,66.0
6,2015-11,114,152.0,16.0,110.0,26.0,25.0,17.0,21.0,18.0,18.0,22.0,31.0,152.0,0.0,0.0,0.0,14.0,41.0,97.0,120.0,11.0,83.0,26.0,14.0,22.0,23.0,23.0,12.0,10.0,16.0,120.0,0.0,0.0,0.0,10.0,44.0,66.0,158.0,16.0,93.0,49.0,13.0,17.0,21.0,41.0,18.0,26.0,22.0,0.0,0.0,0.0,158.0,10.0,48.0,100.0
7,2015-12,128,120.0,11.0,83.0,26.0,14.0,22.0,23.0,23.0,12.0,10.0,16.0,120.0,0.0,0.0,0.0,10.0,44.0,66.0,158.0,16.0,93.0,49.0,13.0,17.0,21.0,41.0,18.0,26.0,22.0,0.0,0.0,0.0,158.0,10.0,48.0,100.0,114.0,4.0,82.0,28.0,17.0,18.0,25.0,15.0,13.0,18.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0
8,2016-01,129,158.0,16.0,93.0,49.0,13.0,17.0,21.0,41.0,18.0,26.0,22.0,0.0,0.0,0.0,158.0,10.0,48.0,100.0,114.0,4.0,82.0,28.0,17.0,18.0,25.0,15.0,13.0,18.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0,128.0,11.0,89.0,28.0,16.0,15.0,22.0,35.0,11.0,15.0,14.0,0.0,0.0,0.0,128.0,11.0,37.0,80.0
9,2016-02,119,114.0,4.0,82.0,28.0,17.0,18.0,25.0,15.0,13.0,18.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0,128.0,11.0,89.0,28.0,16.0,15.0,22.0,35.0,11.0,15.0,14.0,0.0,0.0,0.0,128.0,11.0,37.0,80.0,129.0,13.0,81.0,35.0,14.0,14.0,12.0,30.0,21.0,23.0,15.0,0.0,0.0,129.0,0.0,13.0,43.0,73.0
10,2016-03,136,128.0,11.0,89.0,28.0,16.0,15.0,22.0,35.0,11.0,15.0,14.0,0.0,0.0,0.0,128.0,11.0,37.0,80.0,129.0,13.0,81.0,35.0,14.0,14.0,12.0,30.0,21.0,23.0,15.0,0.0,0.0,129.0,0.0,13.0,43.0,73.0,119.0,15.0,64.0,40.0,23.0,15.0,22.0,18.0,15.0,15.0,11.0,0.0,0.0,119.0,0.0,6.0,35.0,78.0
11,2016-04,132,129.0,13.0,81.0,35.0,14.0,14.0,12.0,30.0,21.0,23.0,15.0,0.0,0.0,129.0,0.0,13.0,43.0,73.0,119.0,15.0,64.0,40.0,23.0,15.0,22.0,18.0,15.0,15.0,11.0,0.0,0.0,119.0,0.0,6.0,35.0,78.0,136.0,13.0,92.0,31.0,15.0,24.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,136.0,0.0,5.0,45.0,86.0
12,2016-05,131,119.0,15.0,64.0,40.0,23.0,15.0,22.0,18.0,15.0,15.0,11.0,0.0,0.0,119.0,0.0,6.0,35.0,78.0,136.0,13.0,92.0,31.0,15.0,24.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,136.0,0.0,5.0,45.0,86.0,132.0,8.0,96.0,28.0,21.0,22.0,20.0,24.0,12.0,15.0,18.0,0.0,132.0,0.0,0.0,9.0,46.0,77.0
13,2016-06,151,136.0,13.0,92.0,31.0,15.0,24.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,136.0,0.0,5.0,45.0,86.0,132.0,8.0,96.0,28.0,21.0,22.0,20.0,24.0,12.0,15.0,18.0,0.0,132.0,0.0,0.0,9.0,46.0,77.0,131.0,16.0,84.0,31.0,18.0,20.0,20.0,23.0,20.0,18.0,12.0,0.0,131.0,0.0,0.0,6.0,38.0,87.0
14,2016-07,138,132.0,8.0,96.0,28.0,21.0,22.0,20.0,24.0,12.0,15.0,18.0,0.0,132.0,0.0,0.0,9.0,46.0,77.0,131.0,16.0,84.0,31.0,18.0,20.0,20.0,23.0,20.0,18.0,12.0,0.0,131.0,0.0,0.0,6.0,38.0,87.0,151.0,19.0,81.0,51.0,18.0,21.0,30.0,26.0,17.0,21.0,18.0,0.0,151.0,0.0,0.0,7.0,51.0,93.0
15,2016-08,154,131.0,16.0,84.0,31.0,18.0,20.0,20.0,23.0,20.0,18.0,12.0,0.0,131.0,0.0,0.0,6.0,38.0,87.0,151.0,19.0,81.0,51.0,18.0,21.0,30.0,26.0,17.0,21.0,18.0,0.0,151.0,0.0,0.0,7.0,51.0,93.0,138.0,20.0,89.0,29.0,18.0,22.0,24.0,17.0,21.0,19.0,17.0,138.0,0.0,0.0,0.0,10.0,49.0,79.0
16,2016-09,146,151.0,19.0,81.0,51.0,18.0,21.0,30.0,26.0,17.0,21.0,18.0,0.0,151.0,0.0,0.0,7.0,51.0,93.0,138.0,20.0,89.0,29.0,18.0,22.0,24.0,17.0,21.0,19.0,17.0,138.0,0.0,0.0,0.0,10.0,49.0,79.0,154.0,9.0,107.0,38.0,22.0,22.0,25.0,27.0,24.0,21.0,13.0,154.0,0.0,0.0,0.0,9.0,52.0,93.0
17,2016-10,122,138.0,20.0,89.0,29.0,18.0,22.0,24.0,17.0,21.0,19.0,17.0,138.0,0.0,0.0,0.0,10.0,49.0,79.0,154.0,9.0,107.0,38.0,22.0,22.0,25.0,27.0,24.0,21.0,13.0,154.0,0.0,0.0,0.0,9.0,52.0,93.0,146.0,8.0,95.0,43.0,19.0,22.0,25.0,28.0,27.0,14.0,11.0,146.0,0.0,0.0,0.0,11.0,41.0,94.0
18,2016-11,115,154.0,9.0,107.0,38.0,22.0,22.0,25.0,27.0,24.0,21.0,13.0,154.0,0.0,0.0,0.0,9.0,52.0,93.0,146.0,8.0,95.0,43.0,19.0,22.0,25.0,28.0,27.0,14.0,11.0,146.0,0.0,0.0,0.0,11.0,41.0,94.0,122.0,17.0,81.0,24.0,20.0,20.0,15.0,18.0,9.0,16.0,24.0,0.0,0.0,0.0,122.0,8.0,37.0,77.0
19,2016-12,131,146.0,8.0,95.0,43.0,19.0,22.0,25.0,28.0,27.0,14.0,11.0,146.0,0.0,0.0,0.0,11.0,41.0,94.0,122.0,17.0,81.0,24.0,20.0,20.0,15.0,18.0,9.0,16.0,24.0,0.0,0.0,0.0,122.0,8.0,37.0,77.0,115.0,12.0,83.0,20.0,19.0,17.0,25.0,14.0,13.0,9.0,18.0,0.0,0.0,0.0,115.0,6.0,34.0,75.0
20,2017-01,154,122.0,17.0,81.0,24.0,20.0,20.0,15.0,18.0,9.0,16.0,24.0,0.0,0.0,0.0,122.0,8.0,37.0,77.0,115.0,12.0,83.0,20.0,19.0,17.0,25.0,14.0,13.0,9.0,18.0,0.0,0.0,0.0,115.0,6.0,34.0,75.0,131.0,11.0,80.0,40.0,14.0,17.0,23.0,31.0,17.0,19.0,10.0,0.0,0.0,0.0,131.0,14.0,37.0,80.0
21,2017-02,136,115.0,12.0,83.0,20.0,19.0,17.0,25.0,14.0,13.0,9.0,18.0,0.0,0.0,0.0,115.0,6.0,34.0,75.0,131.0,11.0,80.0,40.0,14.0,17.0,23.0,31.0,17.0,19.0,10.0,0.0,0.0,0.0,131.0,14.0,37.0,80.0,154.0,15.0,113.0,26.0,25.0,26.0,25.0,27.0,18.0,15.0,18.0,0.0,0.0,154.0,0.0,13.0,46.0,95.0
22,2017-03,129,131.0,11.0,80.0,40.0,14.0,17.0,23.0,31.0,17.0,19.0,10.0,0.0,0.0,0.0,131.0,14.0,37.0,80.0,154.0,15.0,113.0,26.0,25.0,26.0,25.0,27.0,18.0,15.0,18.0,0.0,0.0,154.0,0.0,13.0,46.0,95.0,136.0,19.0,95.0,22.0,22.0,16.0,23.0,30.0,18.0,17.0,10.0,0.0,0.0,136.0,0.0,10.0,48.0,78.0
23,2017-04,120,154.0,15.0,113.0,26.0,25.0,26.0,25.0,27.0,18.0,15.0,18.0,0.0,0.0,154.0,0.0,13.0,46.0,95.0,136.0,19.0,95.0,22.0,22.0,16.0,23.0,30.0,18.0,17.0,10.0,0.0,0.0,136.0,0.0,10.0,48.0,78.0,129.0,13.0,82.0,34.0,12.0,24.0,20.0,31.0,20.0,14.0,8.0,0.0,0.0,129.0,0.0,13.0,41.0,75.0
24,2017-05,159,136.0,19.0,95.0,22.0,22.0,16.0,23.0,30.0,18.0,17.0,10.0,0.0,0.0,136.0,0.0,10.0,48.0,78.0,129.0,13.0,82.0,34.0,12.0,24.0,20.0,31.0,20.0,14.0,8.0,0.0,0.0,129.0,0.0,13.0,41.0,75.0,120.0,11.0,76.0,33.0,16.0,12.0,21.0,26.0,17.0,17.0,11.0,0.0,120.0,0.0,0.0,5.0,41.0,74.0
25,2017-06,125,129.0,13.0,82.0,34.0,12.0,24.0,20.0,31.0,20.0,14.0,8.0,0.0,0.0,129.0,0.0,13.0,41.0,75.0,120.0,11.0,76.0,33.0,16.0,12.0,21.0,26.0,17.0,17.0,11.0,0.0,120.0,0.0,0.0,5.0,41.0,74.0,159.0,20.0,99.0,40.0,22.0,23.0,30.0,18.0,29.0,15.0,22.0,0.0,159.0,0.0,0.0,14.0,40.0,105.0
26,2017-07,126,120.0,11.0,76.0,33.0,16.0,12.0,21.0,26.0,17.0,17.0,11.0,0.0,120.0,0.0,0.0,5.0,41.0,74.0,159.0,20.0,99.0,40.0,22.0,23.0,30.0,18.0,29.0,15.0,22.0,0.0,159.0,0.0,0.0,14.0,40.0,105.0,125.0,17.0,80.0,28.0,12.0,23.0,25.0,25.0,14.0,14.0,12.0,0.0,125.0,0.0,0.0,3.0,44.0,78.0
