,Booking_year_month,DOB_month,total_crime,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
0,2015-08-01,1013,142.0,18,92,32,14,13,29,28,23,21,14,142,0,0,0,13,52,77
1,2015-09-01,803,153.0,15,112,26,24,17,20,20,18,22,32,153,0,0,0,14,43,96
2,2015-10-01,1057,121.0,11,84,26,13,22,23,24,13,10,16,121,0,0,0,11,44,66
3,2015-11-01,774,156.0,16,92,48,13,16,21,39,18,26,23,0,0,0,156,10,46,100
4,2015-12-01,891,114.0,4,81,29,18,18,25,15,13,17,8,0,0,0,114,5,42,67
5,2016-01-01,854,129.0,11,90,28,16,15,22,35,12,15,14,0,0,0,129,11,37,81
6,2016-02-01,754,130.0,13,81,36,14,14,13,30,21,23,15,0,0,130,0,12,43,75
7,2016-03-01,861,123.0,16,67,40,23,15,23,20,16,15,11,0,0,123,0,6,37,80
8,2016-04-01,819,138.0,13,94,31,16,25,20,26,16,20,15,0,0,138,0,5,47,86
9,2016-05-01,769,130.0,8,94,28,22,22,20,22,12,14,18,0,130,0,0,8,44,78
10,2016-06-01,1047,132.0,16,85,31,17,21,20,24,20,18,12,0,132,0,0,6,38,88
11,2016-07-01,896,152.0,19,82,51,18,21,30,27,17,21,18,0,152,0,0,7,53,92
12,2016-08-01,924,143.0,20,92,31,18,23,25,17,22,20,18,143,0,0,0,10,54,79
13,2016-09-01,1034,155.0,9,108,38,22,23,25,26,24,21,14,155,0,0,0,8,56,91
14,2016-10-01,776,148.0,8,97,43,20,23,25,28,27,14,11,148,0,0,0,10,42,96
15,2016-11-01,760,121.0,17,80,24,20,19,15,18,9,15,25,0,0,0,121,8,34,78
16,2016-12-01,880,116.0,12,84,20,20,17,25,14,13,9,18,0,0,0,116,6,33,77
17,2017-01-01,970,133.0,10,82,41,14,17,24,31,17,20,10,0,0,0,133,14,39,80
18,2017-02-01,859,153.0,17,111,25,26,25,25,27,17,15,18,0,0,153,0,12,43,98
19,2017-03-01,847,135.0,18,95,22,22,16,24,30,17,16,10,0,0,135,0,10,47,78
20,2017-04-01,850,125.0,12,81,32,10,24,20,31,19,13,8,0,0,125,0,13,41,71
21,2017-05-01,1126,122.0,11,78,33,17,13,21,25,17,17,12,0,122,0,0,5,41,76
22,2017-06-01,817,160.0,20,100,40,23,22,30,19,29,15,22,0,160,0,0,14,39,107
23,2017-07-01,739,127.0,16,83,28,12,23,26,25,14,14,13,0,127,0,0,3,45,79
24,2017-08-01,984,124.0,12,80,32,17,17,15,28,10,21,16,124,0,0,0,10,38,76
25,2017-09-01,761,150.0,20,97,33,14,27,30,25,15,25,14,150,0,0,0,12,46,92
26,2017-10-01,817,110.0,16,60,34,14,16,16,13,19,14,18,110,0,0,0,9,30,71
27,2017-11-01,838,132.0,10,85,37,18,23,27,15,20,10,19,0,0,0,132,6,44,82
28,2017-12-01,850,122.0,21,83,18,15,16,24,19,15,21,12,0,0,0,122,11,31,80
29,2018-01-01,933,129.0,18,80,31,20,15,29,16,13,12,24,0,0,0,129,8,45,76
30,2018-02-01,897,144.0,24,93,27,25,23,34,18,19,14,11,0,0,144,0,10,37,97
31,2018-03-01,945,131.0,26,83,22,23,18,19,31,14,13,13,0,0,131,0,10,35,86
32,2018-04-01,1040,146.0,25,91,30,17,19,27,28,22,19,14,0,0,146,0,2,45,99
33,2018-05-01,899,151.0,28,88,35,29,7,31,31,17,16,20,0,151,0,0,11,41,99
34,2018-06-01,843,146.0,15,105,26,14,17,41,32,14,12,16,0,146,0,0,6,45,95
35,2018-07-01,977,124.0,17,83,24,13,17,14,27,19,23,11,0,124,0,0,5,38,81
36,2018-08-01,850,139.0,18,88,33,24,21,25,19,18,12,20,139,0,0,0,7,53,79
37,2018-09-01,745,126.0,18,85,23,16,14,20,30,15,16,15,126,0,0,0,7,43,76
38,2018-10-01,922,123.0,12,89,22,8,15,18,26,17,19,20,123,0,0,0,7,38,78
39,2018-11-01,795,135.0,16,97,22,23,9,33,30,20,10,10,0,0,0,135,8,39,88
40,2018-12-01,818,124.0,13,84,27,10,17,22,29,20,11,15,0,0,0,124,8,45,71
41,2019-01-01,982,121.0,23,80,18,13,13,21,17,13,26,18,0,0,0,121,8,46,67
42,2019-02-01,934,155.0,23,100,32,23,20,24,35,24,18,11,0,0,155,0,10,54,91
