Zip,High_School_level,Total_Housing_Units,Median_Household_Income,Poverty
33160,93.90,36594.00,50070.00,12.40
33139,90.00,33247.00,50565.00,15.70
33186,92.10,23350.00,64907.00,10.30
33012,70.90,24884.00,31010.00,25.20
33157,84.40,20982.00,60325.00,15.30
33015,85.90,22480.00,48450.00,15.80
33141,86.90,23729.00,43439.00,20.10
33178,95.10,18541.00,78690.00,13.10
33176,91.00,18755.00,67866.00,8.40
33125,65.30,22167.00,25815.00,29.40
33180,95.10,24119.00,65374.00,8.90
33179,86.50,18100.00,44241.00,15.30
33130,73.50,14848.00,27033.00,30.60
33126,77.60,19660.00,34088.00,22.80
33161,73.90,18120.00,36051.00,27.10
33165,80.00,17201.00,46844.00,17.10
33175,82.40,16104.00,51582.00,15.90
33177,81.00,15063.00,55444.00,13.30
33134,89.00,18508.00,65197.00,10.70
33196,90.10,14416.00,73382.00,9.10
33172,80.80,15396.00,44368.00,14.90
33018,80.10,13789.00,54232.00,12.60
33131,98.20,14829.00,80539.00,13.60
33016,77.80,15255.00,43579.00,19.80
33032,78.00,12797.00,44415.00,25.70
33133,90.40,16542.00,63428.00,15.40
33155,83.40,15249.00,60853.00,11.70
33193,81.10,14982.00,54132.00,13.60
33014,78.00,14699.00,36257.00,27.00
33010,68.20,15794.00,25539.00,27.60
33140,91.70,17920.00,75257.00,9.90
33143,93.70,13759.00,65581.00,11.00
33169,80.60,13243.00,41999.00,18.60
33162,76.90,14799.00,40932.00,17.80
33055,78.50,12050.00,42950.00,21.70
33138,79.20,13651.00,43607.00,25.70
33156,95.10,12773.00,107244.00,7.30
33183,87.10,12527.00,53546.00,13.60
33173,89.20,12073.00,65482.00,10.20
33145,79.90,12806.00,46856.00,15.90
33056,80.50,10756.00,38330.00,24.20
33030,61.00,9920.00,36069.00,32.20
33174,75.00,9891.00,46390.00,15.00
33144,76.90,9171.00,42306.00,16.20
33166,87.10,9017.00,51738.00,13.40
33154,94.80,10585.00,70848.00,11.30
33189,85.90,8503.00,53438.00,15.40
33132,90.40,9112.00,69973.00,17.20
33181,88.30,9006.00,44305.00,17.40
33185,88.70,8341.00,80429.00,8.20
33129,93.20,8472.00,74755.00,11.40
33149,98.60,7640.00,128563.00,6.50
33184,74.20,6731.00,50493.00,12.40
33187,82.80,5197.00,74902.00,7.20
33146,95.80,4991.00,116536.00,7.70
33190,89.90,4796.00,59123.00,12.50
33170,82.00,4057.00,41207.00,25.50
33182,77.60,4003.00,70500.00,9.80
33158,97.00,2261.00,2261.00,3.20
33031,78.50,1884.00,71404.00,12.40
33109,100.00,931.00,177000.00,11.60
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
