,Booking_year_month,DOB_month,total_crime,total_crime_3,age<25_3,age26-50_3,age>50_3,day_of_week_Monday_3,day_of_week_Tuesday_3,day_of_week_Wednesday_3,day_of_week_Thursday_3,day_of_week_Friday_3,day_of_week_Saturday_3,day_of_week_Sunday_3,summer_3,spring_3,winter_3,autum_3,CityRN_FOREIGN_3,CityRN_HOMELESS_3,CityRN_MIAMI_3,total_crime_2,Age<25_2,Age26-50_2,Age>50_2,day_of_week_Monday_2,day_of_week_Tuesday_2,day_of_week_Wednesday_2,day_of_week_Thursday_2,day_of_week_Friday_2,day_of_week_Saturday_2,day_of_week_Sunday_2,summer_2,spring_2,winter_2,autum_2,CityRN_FOREIGN_2,CityRN_HOMELESS_2,CityRN_MIAMI_2,total_crime_1,age<25_1,age26-50_1,age>50_1,day_of_week_Monday_1,day_of_week_Tuesday_1,day_of_week_Wednesday_1,day_of_week_Thursday_1,day_of_week_Friday_1,day_of_week_Saturday_1,day_of_week_Sunday_1,summer_1,spring_1,winter_1,autum_1,CityRN_FOREIGN_1,CityRN_HOMELESS_1,CityRN_MIAMI_1
0,2015-08-01,1013,153,14.0,3.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,14.0,0.0,0.0,2.0,3.0,9.0,132.0,13.0,91.0,28.0,22.0,13.0,23.0,24.0,19.0,20.0,11.0,0.0,132.0,0.0,0.0,9.0,38.0,85.0,142.0,18.0,92.0,32.0,14.0,13.0,29.0,28.0,23.0,21.0,14.0,142.0,0.0,0.0,0.0,13.0,52.0,77.0
1,2015-09-01,803,121,132.0,13.0,91.0,28.0,22.0,13.0,23.0,24.0,19.0,20.0,11.0,0.0,132.0,0.0,0.0,9.0,38.0,85.0,142.0,18.0,92.0,32.0,14.0,13.0,29.0,28.0,23.0,21.0,14.0,142.0,0.0,0.0,0.0,13.0,52.0,77.0,153.0,15.0,112.0,26.0,24.0,17.0,20.0,20.0,18.0,22.0,32.0,153.0,0.0,0.0,0.0,14.0,43.0,96.0
2,2015-10-01,1057,156,142.0,18.0,92.0,32.0,14.0,13.0,29.0,28.0,23.0,21.0,14.0,142.0,0.0,0.0,0.0,13.0,52.0,77.0,153.0,15.0,112.0,26.0,24.0,17.0,20.0,20.0,18.0,22.0,32.0,153.0,0.0,0.0,0.0,14.0,43.0,96.0,121.0,11.0,84.0,26.0,13.0,22.0,23.0,24.0,13.0,10.0,16.0,121.0,0.0,0.0,0.0,11.0,44.0,66.0
3,2015-11-01,774,114,153.0,15.0,112.0,26.0,24.0,17.0,20.0,20.0,18.0,22.0,32.0,153.0,0.0,0.0,0.0,14.0,43.0,96.0,121.0,11.0,84.0,26.0,13.0,22.0,23.0,24.0,13.0,10.0,16.0,121.0,0.0,0.0,0.0,11.0,44.0,66.0,156.0,16.0,92.0,48.0,13.0,16.0,21.0,39.0,18.0,26.0,23.0,0.0,0.0,0.0,156.0,10.0,46.0,100.0
4,2015-12-01,891,129,121.0,11.0,84.0,26.0,13.0,22.0,23.0,24.0,13.0,10.0,16.0,121.0,0.0,0.0,0.0,11.0,44.0,66.0,156.0,16.0,92.0,48.0,13.0,16.0,21.0,39.0,18.0,26.0,23.0,0.0,0.0,0.0,156.0,10.0,46.0,100.0,114.0,4.0,81.0,29.0,18.0,18.0,25.0,15.0,13.0,17.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0
5,2016-01-01,854,130,156.0,16.0,92.0,48.0,13.0,16.0,21.0,39.0,18.0,26.0,23.0,0.0,0.0,0.0,156.0,10.0,46.0,100.0,114.0,4.0,81.0,29.0,18.0,18.0,25.0,15.0,13.0,17.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0,129.0,11.0,90.0,28.0,16.0,15.0,22.0,35.0,12.0,15.0,14.0,0.0,0.0,0.0,129.0,11.0,37.0,81.0
6,2016-02-01,754,123,114.0,4.0,81.0,29.0,18.0,18.0,25.0,15.0,13.0,17.0,8.0,0.0,0.0,0.0,114.0,5.0,42.0,67.0,129.0,11.0,90.0,28.0,16.0,15.0,22.0,35.0,12.0,15.0,14.0,0.0,0.0,0.0,129.0,11.0,37.0,81.0,130.0,13.0,81.0,36.0,14.0,14.0,13.0,30.0,21.0,23.0,15.0,0.0,0.0,130.0,0.0,12.0,43.0,75.0
7,2016-03-01,861,138,129.0,11.0,90.0,28.0,16.0,15.0,22.0,35.0,12.0,15.0,14.0,0.0,0.0,0.0,129.0,11.0,37.0,81.0,130.0,13.0,81.0,36.0,14.0,14.0,13.0,30.0,21.0,23.0,15.0,0.0,0.0,130.0,0.0,12.0,43.0,75.0,123.0,16.0,67.0,40.0,23.0,15.0,23.0,20.0,16.0,15.0,11.0,0.0,0.0,123.0,0.0,6.0,37.0,80.0
8,2016-04-01,819,130,130.0,13.0,81.0,36.0,14.0,14.0,13.0,30.0,21.0,23.0,15.0,0.0,0.0,130.0,0.0,12.0,43.0,75.0,123.0,16.0,67.0,40.0,23.0,15.0,23.0,20.0,16.0,15.0,11.0,0.0,0.0,123.0,0.0,6.0,37.0,80.0,138.0,13.0,94.0,31.0,16.0,25.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,138.0,0.0,5.0,47.0,86.0
9,2016-05-01,769,132,123.0,16.0,67.0,40.0,23.0,15.0,23.0,20.0,16.0,15.0,11.0,0.0,0.0,123.0,0.0,6.0,37.0,80.0,138.0,13.0,94.0,31.0,16.0,25.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,138.0,0.0,5.0,47.0,86.0,130.0,8.0,94.0,28.0,22.0,22.0,20.0,22.0,12.0,14.0,18.0,0.0,130.0,0.0,0.0,8.0,44.0,78.0
10,2016-06-01,1047,152,138.0,13.0,94.0,31.0,16.0,25.0,20.0,26.0,16.0,20.0,15.0,0.0,0.0,138.0,0.0,5.0,47.0,86.0,130.0,8.0,94.0,28.0,22.0,22.0,20.0,22.0,12.0,14.0,18.0,0.0,130.0,0.0,0.0,8.0,44.0,78.0,132.0,16.0,85.0,31.0,17.0,21.0,20.0,24.0,20.0,18.0,12.0,0.0,132.0,0.0,0.0,6.0,38.0,88.0
11,2016-07-01,896,143,130.0,8.0,94.0,28.0,22.0,22.0,20.0,22.0,12.0,14.0,18.0,0.0,130.0,0.0,0.0,8.0,44.0,78.0,132.0,16.0,85.0,31.0,17.0,21.0,20.0,24.0,20.0,18.0,12.0,0.0,132.0,0.0,0.0,6.0,38.0,88.0,152.0,19.0,82.0,51.0,18.0,21.0,30.0,27.0,17.0,21.0,18.0,0.0,152.0,0.0,0.0,7.0,53.0,92.0
12,2016-08-01,924,155,132.0,16.0,85.0,31.0,17.0,21.0,20.0,24.0,20.0,18.0,12.0,0.0,132.0,0.0,0.0,6.0,38.0,88.0,152.0,19.0,82.0,51.0,18.0,21.0,30.0,27.0,17.0,21.0,18.0,0.0,152.0,0.0,0.0,7.0,53.0,92.0,143.0,20.0,92.0,31.0,18.0,23.0,25.0,17.0,22.0,20.0,18.0,143.0,0.0,0.0,0.0,10.0,54.0,79.0
13,2016-09-01,1034,148,152.0,19.0,82.0,51.0,18.0,21.0,30.0,27.0,17.0,21.0,18.0,0.0,152.0,0.0,0.0,7.0,53.0,92.0,143.0,20.0,92.0,31.0,18.0,23.0,25.0,17.0,22.0,20.0,18.0,143.0,0.0,0.0,0.0,10.0,54.0,79.0,155.0,9.0,108.0,38.0,22.0,23.0,25.0,26.0,24.0,21.0,14.0,155.0,0.0,0.0,0.0,8.0,56.0,91.0
14,2016-10-01,776,121,143.0,20.0,92.0,31.0,18.0,23.0,25.0,17.0,22.0,20.0,18.0,143.0,0.0,0.0,0.0,10.0,54.0,79.0,155.0,9.0,108.0,38.0,22.0,23.0,25.0,26.0,24.0,21.0,14.0,155.0,0.0,0.0,0.0,8.0,56.0,91.0,148.0,8.0,97.0,43.0,20.0,23.0,25.0,28.0,27.0,14.0,11.0,148.0,0.0,0.0,0.0,10.0,42.0,96.0
15,2016-11-01,760,116,155.0,9.0,108.0,38.0,22.0,23.0,25.0,26.0,24.0,21.0,14.0,155.0,0.0,0.0,0.0,8.0,56.0,91.0,148.0,8.0,97.0,43.0,20.0,23.0,25.0,28.0,27.0,14.0,11.0,148.0,0.0,0.0,0.0,10.0,42.0,96.0,121.0,17.0,80.0,24.0,20.0,19.0,15.0,18.0,9.0,15.0,25.0,0.0,0.0,0.0,121.0,8.0,34.0,78.0
